"","geneID","E_Oh43xB73_M_T2_1_B","E_Oh43xB73_M_T2_2_B","E_Oh43xB73_M_T2_3_B","E_Oh43xB73_M_T2_4_B","E_Oh43xB73_M_T2_5_B","E_B73_M_T2_1_B","E_B73_M_T2_2_B","E_B73_M_T2_3_B","E_B73_M_T2_4_B","E_B73_M_T2_5_B","E_Oh43_M_T2_1_O","E_Oh43xB73_M_T2_1_O","E_Oh43xB73_M_T2_2_O","E_Oh43xB73_M_T2_3_O","E_Oh43xB73_M_T2_4_O","E_Oh43xB73_M_T2_5_O","E_Oh43_M_T2_2_O","E_Oh43_M_T2_3_O","E_Oh43_M_T2_4_O","E_Oh43_M_T2_5_O"
"18","Zm00001eb000860",7.96792871364695,7.37056960612321,7.3721414595145,7.60295982990798,7.33888013866992,7.09054923659203,7.52569581494443,7.67223915511087,7.74852828459337,7.24447402315399,7.69426381164574,7.6163475293248,7.7951263608048,7.51316962247951,7.62877383577672,7.67393645114696,7.41927574459603,7.56661260176513,7.43618426167616,7.66266251890824
"19","Zm00001eb000870",8.2182457588029,8.42426229107594,8.5303578492932,8.27167326494108,8.50475075883119,8.0615339368184,8.24586756946656,8.30395119499778,8.73361952673488,8.4642027278592,7.90351429226108,8.33824567540206,8.6308412043864,8.40539052929115,8.11035219106596,8.47168516782462,8.45067522505028,8.69431121545754,8.39124336843293,8.54047263481662
"20","Zm00001eb000890",4.14940926728875,3.67157001273376,3.6456442360012,5.35777909542482,4.49187575966356,3.22837700936027,4.44538636095818,4.05661048074565,4.38715562238516,4.95611863064825,4.32503000198002,3.67148908351726,4.94791544993309,4.46174138367251,5.07376455715719,3.64183560797993,4.39499109247261,4.04891697112255,4.24970016836044,4.05230324112161
"21","Zm00001eb000910",5.94924815977195,3.57885872714218,5.41397359292205,4.49001697690948,5.31997979954877,4.9842810550893,5.55513485617973,4.84444475912791,4.34199963400269,5.56660614890917,5.04325903356464,4.38518489836062,2.73492172659889,5.65729219279032,3.74192099340474,4.55256826988284,4.4301805209349,4.8969138776775,4.49070826786423,4.09884582705864
"22","Zm00001eb000920",8.03941077928236,8.06343474185064,8.14377912195618,7.83646789047587,7.86753940366406,8.3823451176095,8.50046647084116,7.96250505083072,7.67892782956755,7.9104393569417,8.94258633509669,9.05967862067334,9.24271636679758,9.18878348506344,9.05010308092329,9.16665153633744,8.71245953916927,9.08160558982872,9.08160372433913,9.32552560679818
"23","Zm00001eb000970",5.29066264397535,6.51079849722757,5.8626666993863,6.77805486966592,5.58655262987451,5.96566961640733,6.63307611702032,5.91593980492533,6.1992696649035,6.62937681146621,5.40792301032836,5.56679170485056,6.21800461330083,6.07740068161658,6.19682295356153,5.18780397708522,5.64759812685606,5.48543419781184,4.99414088308879,5.63726574184276
"24","Zm00001eb000980",6.21843388743961,6.02907210482927,5.97726438344155,5.22432898953815,5.82474554928199,6.52089069660372,5.79189825422735,5.79292983182907,5.86842667772272,6.27066931188943,5.67461443977025,5.71413342092575,5.96199063514481,5.88258450463256,5.77875776158512,5.89279718151315,5.77624027829517,6.02466942487587,6.15783931016621,5.50527019603277
"25","Zm00001eb000990",3.3962174037925,4.35139314187106,4.00734216259138,4.33695398574079,3.46925124906148,4.67218165887196,4.19851465245201,3.71895215810976,3.38538014864968,3.62132942494377,3.61876120503673,1.83498781580014,3.66780753074035,3.59500791453598,4.24149200289526,3.64183560797993,3.72756643155948,3.43480812474187,2.84089462279311,3.54783065826082
"26","Zm00001eb001000",7.65240797171151,7.41959870027895,7.39882052880313,7.32675793799474,7.55096261895564,7.74938735806285,7.74783839820698,7.56650406403118,7.63107685571503,7.74795694764103,7.95954832717541,7.44969765991534,7.76333014178464,7.93799762495117,7.56693458195886,7.35112624370329,8.05936155590618,7.81020224448416,7.76591183658595,7.88145408678055
"27","Zm00001eb001040",6.33916784233987,6.67948263951954,7.2369056986764,5.76660921911195,6.51072528611326,5.43871823307775,5.41072172844738,5.76490904746216,6.25183010453894,6.34249454192054,6.03853662332224,6.92849970172328,6.79118994624563,6.92539758817153,6.50599181773355,6.93461735720778,6.54298112341103,6.6434655206729,6.09665579371472,6.10455947825303
"28","Zm00001eb001050",4.49697809704294,3.28741145580592,3.73129228440178,3.91100126270237,2.81888463644004,2.78956362886131,4.14385776711384,3.88629601865426,3.27361413866625,3.50465927209473,2.42972738064671,-0.972367106257468,3.18238070357011,1.09250757400679,4.37579309460685,3.95217572859208,4.32192763028288,3.24636303532876,2.62676981744026,4.00420895292056
"29","Zm00001eb001070",9.77681013720195,6.1379423781271,5.81574662820108,5.25654814305598,5.96804218362422,5.33420556622689,4.54350494234714,4.98376431367939,4.64787146358,4.67874528512452,4.70473442814658,4.91027594310437,4.63304211257968,3.59500791453598,4.37579309460685,4.55256826988284,3.98587842715087,4.69046300021007,4.49070826786423,3.4791179081768
